case	id	sex	deg	yrdeg	field	startyr	year	rank	admin	salary	salary_increment
1	1	F	Other	92	Other	95	95	Assist	0	6684	NA
2	2	M	Other	91	Other	94	94	Assist	0	4743	NA
3	2	M	Other	91	Other	94	95	Assist	0	4881	138
4	4	M	PhD	96	Other	95	95	Assist	0	4231	NA
5	6	M	PhD	66	Other	91	91	Full	1	11182	NA
6	6	M	PhD	66	Other	91	92	Full	1	11507	325
7	6	M	PhD	66	Other	91	93	Full	0	11840	333
8	6	M	PhD	66	Other	91	94	Full	0	11840	0
9	6	M	PhD	66	Other	91	95	Full	0	12184	344
10	7	M	PhD	70	Other	71	76	Assist	0	1730	NA
11	7	M	PhD	70	Other	71	77	Assist	0	1851	121
12	7	M	PhD	70	Other	71	78	Assist	0	1981	130
13	7	M	PhD	70	Other	71	79	Assoc	0	2237	256
14	7	M	PhD	70	Other	71	80	Assoc	0	2410	173
15	7	M	PhD	70	Other	71	81	Assoc	0	2639	229
16	7	M	PhD	70	Other	71	82	Assoc	0	2639	0
17	7	M	PhD	70	Other	71	83	Assoc	0	2784	145
18	7	M	PhD	70	Other	71	84	Assoc	0	2973	189
19	7	M	PhD	70	Other	71	85	Assoc	0	2973	0
20	7	M	PhD	70	Other	71	86	Assoc	0	3063	90
21	7	M	PhD	70	Other	71	87	Assoc	0	3217	154
22	7	M	PhD	70	Other	71	88	Assoc	0	3406	189
23	7	M	PhD	70	Other	71	89	Assoc	0	3643	237
24	7	M	PhD	70	Other	71	90	Assoc	0	3814	171
25	7	M	PhD	70	Other	71	91	Assoc	0	3991	177
26	7	M	PhD	70	Other	71	92	Assoc	0	4165	174
27	7	M	PhD	70	Other	71	93	Assoc	0	4286	121
28	7	M	PhD	70	Other	71	94	Assoc	0	4286	0
29	7	M	PhD	70	Other	71	95	Assoc	0	4604	318
30	8	M	PhD	75	Other	95	95	Assist	0	4047.674	NA
31	9	M	PhD	82	Other	87	87	Assist	0	4105	NA
32	9	M	PhD	82	Other	87	88	Assist	0	4105	0
33	9	M	PhD	82	Other	87	89	Assist	0	4393	288
34	9	M	PhD	82	Other	87	90	Assoc	0	4800	407
35	9	M	PhD	82	Other	87	91	Assoc	0	5022	222
36	9	M	PhD	82	Other	87	92	Assoc	0	5168	146
37	9	M	PhD	82	Other	87	93	Assoc	0	5318	150
